station	valid	lon	lat	elevation	tmpc	relh	sknt	sped	metar
AMW	2026-05-01 00:53	-93.6185	41.9904	280.00	10.00	38.95	10.00	11.50	KAMW 010053Z AUTO 34010KT 10SM OVC100 10/M03 A3003 RMK AO2 SLP170 T01001033
AMW	2026-05-01 01:53	-93.6185	41.9904	280.00	7.22	51.06	4.00	4.60	KAMW 010153Z AUTO 31004KT 10SM CLR 07/M02 A3004 RMK AO2 SLP174 T00721022
AMW	2026-05-01 02:53	-93.6185	41.9904	280.00	6.11	55.11	3.00	3.45	KAMW 010253Z AUTO 31003KT 10SM CLR 06/M02 A3006 RMK AO2 SLP181 T00611022 53012
AMW	2026-05-01 03:53	-93.6185	41.9904	280.00	3.89	72.73	5.00	5.75	KAMW 010353Z AUTO 27005KT 10SM FEW080 04/M01 A3005 RMK AO2 SLP180 T00391006
AMW	2026-05-01 04:53	-93.6185	41.9904	280.00	2.78	78.67	3.00	3.45	KAMW 010453Z AUTO 26003KT 10SM FEW085 03/M01 A3005 RMK AO2 SLP178 T00281006
AMW	2026-05-01 05:53	-93.6185	41.9904	280.00	2.78	78.67	8.00	9.20	KAMW 010553Z AUTO 24008KT 10SM BKN095 03/M01 A3005 RMK AO2 SLP178 T00281006 10111 20028 401390028 55003
AMW	2026-05-01 06:53	-93.6185	41.9904	280.00	3.89	75.73	9.00	10.35	KAMW 010653Z AUTO 25009KT 10SM SCT070 OVC090 04/00 A3004 RMK AO2 SLP176 T00390000
AMW	2026-05-01 07:53	-93.6185	41.9904	280.00	5.56	67.41	7.00	8.05	KAMW 010753Z AUTO 01007KT 10SM OVC080 06/00 A3003 RMK AO2 SLP171 T00560000
AMW	2026-05-01 08:53	-93.6185	41.9904	280.00	3.89	75.73	5.00	5.75	KAMW 010853Z AUTO 24005KT 10SM BKN070 OVC085 04/00 A3003 RMK AO2 SLP168 T00390000 58008
AMW	2026-05-01 09:53	-93.6185	41.9904	280.00	2.22	81.84	3.00	3.45	KAMW 010953Z AUTO 26003KT 10SM CLR 02/M01 A3003 RMK AO2 SLP170 T00221006
AMW	2026-05-01 10:53	-93.6185	41.9904	280.00	2.22	78.58	0.00	0.00	KAMW 011053Z AUTO 00000KT 10SM FEW060 SCT110 02/M01 A3003 RMK AO2 SLP170 T00221011
