Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,603402,-,-,-,38.54,-121.73,0,13,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,Temperature,Alpha,DNI,Relative Humidity,Wind Speed,Pressure
2024,1,1,0,0,11.4,1.12,4,92.46000000000001,0,1018
2024,1,1,1,0,10.5,1.1300000000000001,0,96.11,0,1018
2024,1,1,2,0,10,1.1300000000000001,0,99.24000000000001,0,1019
2024,1,1,3,0,9.8,1.1300000000000001,0,100,0,1019
2024,1,1,4,0,9.600000000000001,1.1300000000000001,0,100,0,1019
2024,1,1,5,0,9.3,1.1300000000000001,0,100,0,1019
2024,1,1,6,0,8.9,1.1400000000000001,0,99.95,0,1019
2024,1,1,7,0,8.5,1.1400000000000001,0,99.37,0,1019
2024,1,1,8,0,8.3,1.1500000000000001,0,99.04,0,1019
2024,1,1,9,0,8.3,1.1500000000000001,0,98.16,0,1019
2024,1,1,10,0,7.7,1.16,0,99.09,0,1020
2024,1,1,11,0,7.4,1.16,0,97.94,0,1020
2024,1,1,12,0,7.1000000000000005,1.16,0,96.88,0,1019
2024,1,1,13,0,6.9,1.17,0,95.41,0,1019
2024,1,1,14,0,6.800000000000001,1.18,0,94.09,0,1020
2024,1,1,15,0,6.800000000000001,1.19,0,92.73,0,1020
2024,1,1,16,0,8.200000000000001,1.21,376,88.96000000000001,0,1021
2024,1,1,17,0,9.9,1.23,666,83.09,0,1022
2024,1,1,18,0,12,1.29,801,74.36,0,1022
