Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,603402,-,-,-,38.54,-121.73,0,13,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,Temperature,Dew Point,Relative Humidity,Pressure,Wind Speed
2024,1,1,0,0,11.4,10.200000000000001,92.46000000000001,1018,0
2024,1,1,0,30,10.9,10.200000000000001,95.57000000000001,1018,0
2024,1,1,1,0,10.5,9.9,96.11,1018,0
2024,1,1,1,30,10.3,9.9,97.49000000000001,1019,0
2024,1,1,2,0,10,9.9,99.24000000000001,1019,0
2024,1,1,2,30,9.9,9.9,99.9,1019,0
2024,1,1,3,0,9.8,9.8,100,1019,0
2024,1,1,3,30,9.700000000000001,9.700000000000001,100,1019,0
2024,1,1,4,0,9.600000000000001,9.600000000000001,100,1019,0
2024,1,1,4,30,9.4,9.4,100,1019,0
2024,1,1,5,0,9.3,9.3,100,1019,0
2024,1,1,5,30,9.1,9.1,100,1019,0
2024,1,1,6,0,8.9,8.9,99.95,1019,0
2024,1,1,6,30,8.700000000000001,8.700000000000001,100,1019,0
2024,1,1,7,0,8.5,8.4,99.37,1019,0
2024,1,1,7,30,8.4,8.4,100,1019,0
2024,1,1,8,0,8.3,8.200000000000001,99.04,1019,0
2024,1,1,8,30,8.3,8.200000000000001,99.04,1019,0
2024,1,1,9,0,8.3,8,98.16,1019,0
2024,1,1,9,30,8,8,100,1020,0
2024,1,1,10,0,7.7,7.6000000000000005,99.09,1020,0
2024,1,1,10,30,7.5,7.5,100,1020,0
2024,1,1,11,0,7.4,7.1000000000000005,97.94,1020,0
2024,1,1,11,30,7.2,7.1000000000000005,99.19,1019,0
2024,1,1,12,0,7.1000000000000005,6.6000000000000005,96.88,1019,0
2024,1,1,12,30,7,6.6000000000000005,97.55,1019,0
2024,1,1,13,0,6.9,6.2,95.41,1019,0
2024,1,1,13,30,6.9,6.2,95.5,1020,0
2024,1,1,14,0,6.800000000000001,5.9,94.09,1020,0
2024,1,1,14,30,6.800000000000001,5.9,94.09,1020,0
2024,1,1,15,0,6.800000000000001,5.7,92.73,1020,0
2024,1,1,15,30,7.5,5.7,88.49,1021,0
2024,1,1,16,0,8.200000000000001,6.5,88.96000000000001,1021,0
2024,1,1,16,30,9,6.5,84.29,1021,0
2024,1,1,17,0,9.9,7.2,83.09,1022,0
2024,1,1,17,30,10.9,7.2,77.74,1022,0
2024,1,1,18,0,12,7.6000000000000005,74.36,1022,0
2024,1,1,18,30,12.9,7.6000000000000005,70.10000000000001,1022,0
2024,1,1,19,0,13.9,7.5,65.11,1021,0
2024,1,1,19,30,14.600000000000001,7.5,62.230000000000004,1021,0
2024,1,1,20,0,15.3,7.2,58.54,1021,0
2024,1,1,20,30,15.600000000000001,7.2,57.370000000000005,1020,0
2024,1,1,21,0,16,7.2,56,1020,0
2024,1,1,21,30,16,7.2,56,1020,0
2024,1,1,22,0,16,7.5,57.08,1020,0
2024,1,1,22,30,15.700000000000001,7.5,58.18,1020,0
2024,1,1,23,0,15.3,8.6,64.32000000000001,1020,0
2024,1,1,23,30,14.200000000000001,8.6,69.03,1020,0
2024,1,2,0,0,13.100000000000001,8.3,72.63,1020,0
2024,1,2,0,30,12.8,8.3,74.06,1020,0
2024,1,2,1,0,12.600000000000001,7.300000000000001,70.36,1020,0
2024,1,2,1,30,12.4,7.300000000000001,71.29,1020,0
2024,1,2,2,0,12.200000000000001,7.7,74.15,1021,0
2024,1,2,2,30,11.8,7.7,76.12,1021,0
2024,1,2,3,0,11.4,8,79.5,1021,0
2024,1,2,3,30,10.9,8,82.17,1021,0
2024,1,2,4,0,10.3,8.1,86.03,1021,0
2024,1,2,4,30,10,8.1,87.77,1021,0
2024,1,2,5,0,9.600000000000001,8.200000000000001,90.96000000000001,1021,0
2024,1,2,5,30,9.1,8.200000000000001,94.16,1022,0
2024,1,2,6,0,8.700000000000001,8.4,97.69,1022,0
2024,1,2,6,30,8.3,8.3,100,1022,0
2024,1,2,7,0,7.9,7.9,100,1022,0
2024,1,2,7,30,7.6000000000000005,7.6000000000000005,100,1022,0
2024,1,2,8,0,7.2,7.2,100,1021,0
2024,1,2,8,30,7.2,7.2,100,1021,0
2024,1,2,9,0,7.1000000000000005,7.1000000000000005,100,1022,0
2024,1,2,9,30,7.300000000000001,7.300000000000001,100,1022,0
2024,1,2,10,0,7.5,7.5,100,1022,0
2024,1,2,10,30,7.6000000000000005,7.6000000000000005,100,1021,0
2024,1,2,11,0,7.7,7.7,100,1021,0
2024,1,2,11,30,7.300000000000001,7.300000000000001,100,1021,0
2024,1,2,12,0,6.9,6.9,100,1021,0
2024,1,2,12,30,6.800000000000001,6.800000000000001,100,1021,0
2024,1,2,13,0,6.7,6.7,100,1021,0
2024,1,2,13,30,6.6000000000000005,6.6000000000000005,100,1021,0
2024,1,2,14,0,6.5,6.5,100,1021,0
2024,1,2,14,30,6.5,6.5,100,1021,0
2024,1,2,15,0,6.5,6.4,99.54,1021,0
2024,1,2,15,30,7.2,6.4,94.88,1021,0
2024,1,2,16,0,7.9,6.9,93.18,1021,0
2024,1,2,16,30,8.4,6.9,90.16,1022,0
2024,1,2,17,0,8.8,7.4,91.07000000000001,1022,0
2024,1,2,17,30,9.8,7.4,85.15,1022,0
2024,1,2,18,0,10.8,8.700000000000001,87.10000000000001,1022,0
2024,1,2,18,30,12.200000000000001,8.700000000000001,79.34,1021,0
2024,1,2,19,0,13.600000000000001,9.9,78.55,1021,0
2024,1,2,19,30,14.5,9.9,74.04,1020,0
2024,1,2,20,0,15.5,10,69.76,1019,0
2024,1,2,20,30,15.9,10,68,1019,0
2024,1,2,21,0,16.3,9.5,64.1,1018,0
2024,1,2,21,30,15.8,9.5,66.11,1017,0
2024,1,2,22,0,15.3,9.600000000000001,68.88,1017,0
2024,1,2,22,30,14.600000000000001,9.600000000000001,71.97,1016,0
2024,1,2,23,0,13.9,10.200000000000001,78.44,1016,0
2024,1,2,23,30,13.4,10.200000000000001,80.95,1015,0
2024,1,3,0,0,12.8,10.600000000000001,86.24,1015,0
2024,1,3,0,30,12.4,10.600000000000001,88.53,1015,0
2024,1,3,1,0,12.100000000000001,10.9,92.48,1015,0
2024,1,3,1,30,11.9,10.9,93.7,1015,0
2024,1,3,2,0,11.700000000000001,10.8,94.03,1015,0
2024,1,3,2,30,11.4,10.8,95.91,1015,0
2024,1,3,3,0,11,9.8,92.51,1015,0
2024,1,3,3,30,10.5,9.8,95.63,1015,0
2024,1,3,4,0,10,8.9,93.04,1015,0
2024,1,3,4,30,9.3,8.9,97.60000000000001,1016,0
2024,1,3,5,0,8.700000000000001,8,95.39,1016,0
2024,1,3,5,30,8.5,8,96.69,1016,0
2024,1,3,6,0,8.3,7.7,95.78,1016,0
2024,1,3,6,30,8.200000000000001,7.7,96.43,1016,0
2024,1,3,7,0,8,7.4,96.04,1016,0
2024,1,3,7,30,7.800000000000001,7.4,97.45,1017,0
2024,1,3,8,0,7.5,7,96.94,1017,0
2024,1,3,8,30,7.300000000000001,7,98.27,1017,0
2024,1,3,9,0,7.2,6.9,97.67,1017,0
2024,1,3,9,30,7.300000000000001,6.9,97.01,1017,0
2024,1,3,10,0,7.300000000000001,6.9,97.23,1017,0
2024,1,3,10,30,7.300000000000001,6.9,97.23,1017,0
2024,1,3,11,0,7.4,6.9,96.84,1017,0
2024,1,3,11,30,7.4,6.9,96.84,1017,0
2024,1,3,12,0,7.5,7,96.75,1017,0
2024,1,3,12,30,7.6000000000000005,7,96.09,1017,0
2024,1,3,13,0,7.7,7.2,96.68,1017,0
2024,1,3,13,30,7.6000000000000005,7.2,97.34,1017,0
2024,1,3,14,0,7.6000000000000005,7.2,97.3,1018,0
2024,1,3,14,30,7.6000000000000005,7.2,97.3,1018,0
