name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"davis, ca",2026-05-12T00:00:00,64.6,64.6,54.9,70.98,0,0,,0,0,12.8,1,355,1011.9,15.6,9.9,0,0,0,10,Clear,clear-night,"KSMF,KEDU,KSAC,KVCB,KSUU,F6859"
"davis, ca",2026-05-12T01:00:00,61.2,61.2,56.3,83.71,0,0,,0,0,11.4,0.7,354,1011.9,7.8,9.9,0,0,0,10,Clear,clear-night,"KSMF,KEDU,KSAC,KVCB,KSUU,F6859"
"davis, ca",2026-05-12T02:00:00,59.4,59.4,56.4,89.75,0,0,,0,0,9.2,0.6,8,1011.5,0,9.9,0,0,0,10,Clear,clear-night,"KSMF,KEDU,KSAC,KVCB,KSUU,F6859"
"davis, ca",2026-05-12T03:00:00,57.7,57.7,54.8,90.14,0,0,,0,0,9.2,0.6,9,1011.2,0,9.9,0,0,0,10,Clear,clear-night,"KSMF,KEDU,KSAC,KVCB,KSUU,F6859"
"davis, ca",2026-05-12T04:00:00,57.5,57.5,54.8,90.52,0,0,,0,0,9.2,0.6,9,1011.2,0,9.9,0,0,0,10,Clear,clear-night,"KSMF,KEDU,KSAC,KVCB,KSUU,F6859"
"davis, ca",2026-05-12T05:00:00,55.8,55.8,54.8,96.53,0,0,,0,0,9.2,0.9,354,1011.5,7.8,9.9,0,0,0,10,Clear,clear-night,"KSMF,KEDU,KSAC,KVCB,KSUU,F6859"
"davis, ca",2026-05-12T06:00:00,55.5,55.5,54.9,97.56,0,0,,0,0,9.2,0.8,354,1011.5,27.5,9.9,10,0,0,10,Partially cloudy,partly-cloudy-day,"KSMF,KEDU,KSAC,KVCB,KSUU,F6859"
"davis, ca",2026-05-12T07:00:00,57.2,57.2,54.9,92.01,0,0,,0,0,8.1,0.8,354,1011.9,27.5,9.9,122,0.4,1,10,Partially cloudy,partly-cloudy-day,"KSMF,KEDU,KSAC,KVCB,KSUU,F6859"
"davis, ca",2026-05-12T08:00:00,60.8,60.8,56.5,85.94,0,0,,0,0,8.1,0.7,354,1012.2,15.6,9.9,313,1.1,3,10,Clear,clear-day,"KSMF,KEDU,KSAC,KVCB,KSUU,F6859"
"davis, ca",2026-05-12T09:00:00,67.7,67.7,56.6,67.65,0,0,,0,0,9.2,0.8,358,1012.2,27.5,9.9,428,1.5,4,10,Partially cloudy,partly-cloudy-day,"KSMF,KEDU,KSAC,KVCB,KSUU,F6859"
"davis, ca",2026-05-12T10:00:00,73,73,55.2,53.56,0,0,,0,0,10.3,0.9,3,1012.2,27.5,9.9,705,2.5,7,10,Partially cloudy,partly-cloudy-day,"KSMF,KEDU,KSAC,KVCB,KSUU,F6859"
